2025-11-11 00:38:24 [Database:INFO] - 데이터베이스 테이블 생성/확인 완료: sqlite:///athena_v1_trade_history.db
2025-11-11 00:44:17 [Main:INFO] - [KRW-SUN] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SUPER] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SXP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-SYRUP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-T] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TAIKO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TFUEL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-THETA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TIA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TOKAMAK] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TOSHI] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TREE] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TRUMP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TRUST] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TRX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-TT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-UNI] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-USD1] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-USDC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-USDT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-VANA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-VET] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-VIRTUAL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-VTHO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-W] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WAL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WAVES] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WAXP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WCT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WLD] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-WLFI] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-XEC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-XLM] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-XPL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-XRP] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-XTZ] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-YGG] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZBT] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZETA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZIL] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZKC] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZORA] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZRO] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-ZRX] 봇 시작 명령 수신.
2025-11-11 00:44:17 [Main:INFO] - [KRW-0G] 봇 시작 명령 수신.
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
2025-11-11 00:44:17 [ExchangeAPI:WARNING] - API 키가 .env 파일에 설정되지 않았습니다. 공개 API만 사용 가능합니다.
2025-11-11 00:44:17 [RiskManager:INFO] - 리스크 관리자 초기화. 총 자본: 1,000,000 KRW
2025-11-11 00:44:17 [RiskManager:INFO] -   기본 리스크 (1회): 5,000 KRW (0.5%)
